tamano,sector,ActividadEconomica,SENA,Temporal,BolsaEmpleo,Periodico,RecomendacioAmigos,RecomendacionTra,Otro,Nivel_contratados,TotalProfesionales,TotalTecTecnolo
GRANDE,COMERCIO,COMERCIO DE FERRETERIA,7,5,6,,,,,Universitarios,10,5
GRANDE,COMERCIO,VENTA DE MAQUINARIA INDUSTRIAL,4,,,,,,,Tecnicos o Tecnologos,3,5
GRANDE,COMERCIO,TELECOMUNICACIONES,5,6,,,,,,Universitarios,20,8
GRANDE,COMERCIO,COMERCIALIZADORA EMPAQUES ESPE,2,,,,,,,Universitarios,20,4
GRANDE,COMERCIO,COMERCIO,7,,,,,,,Universitarios,10,2
GRANDE,COMERCIO,DISTRIBUCION,6,,,,,,,Tecnicos o Tecnologos,3,5
GRANDE,COMERCIO,EDITORIAL,4,,,,,,,Universitarios,10,5
GRANDE,COMERCIO,COMPRA Y VENTA VEHICULOS USADOS,5,6,2,,,,,Universitarios,4,0
GRANDE,COMERCIO,SERVICIOS INTERMEDIACION,5,6,,,,,,Universitarios,3,0
GRANDE,COMERCIO,DISTRIBUIDORA DE ALUMINIOS,6,5,,,,,,Tecnicos o Tecnologos,0,1
GRANDE,COMERCIO,QUIMICOS,5,6,,,,,,Tecnicos o Tecnologos,2,4
GRANDE,COMERCIO,MAYORISTAS DE TECNOLOGIA,2,5,6,,,,,Tecnicos o Tecnologos,0,1
GRANDE,COMERCIO,COMERCIALIZACION DE CALZADO,1,7,,,,,,Universitarios,2,1
GRANDE,COMERCIO,METALMECANICA,2,,,,,,,Universitarios,10,5
GRANDE,COMERCIO,FABRICACION DE AROMAS,2,4,7,,,,,Universitarios,2,1
GRANDE,COMERCIO,IMPORTACION,1,4,5,6,7,,,Tecnicos o Tecnologos,5,6
GRANDE,COMERCIO,COMERCIALIZACION DE GRANOS,5,,,,,,,Universitarios,4,0
GRANDE,COMERCIO,COMERCAILIZACION DE PRODUCTOS,5,2,,,,,,Universitarios,15,4
GRANDE,COMERCIO,COMERCIO,6,5,4,3,2,1,,Universitarios,20,0
GRANDE,COMERCIO,COMERCIO,6,5,7,1,,,,Tecnicos o Tecnologos,5,7
GRANDE,COMERCIO,COMERCIO,7,,,,,,,Universitarios,5,0
GRANDE,COMERCIO,IMPORTACION DE HERRAMIENTA IND,6,4,,,,,,Universitarios,3,2
GRANDE,COMERCIO,COMERCIALIZACION TEXTILES Y CO,5,6,,,,,,Tecnicos o Tecnologos,20,50
GRANDE,COMERCIO,COMERCIO Y SERVICIOS,2,,,,,,,Tecnicos o Tecnologos,10,15
GRANDE,COMERCIO,COMERCIALIZAR EQUIPOS PARA ART,2,6,,,,,,Universitarios,2,1
GRANDE,COMERCIO,COMERCIO,2,5,,,,,,Tecnicos o Tecnologos,4,7
GRANDE,COMERCIO,INDUSTRIA,4,,,,,,,Tecnicos o Tecnologos,15,40
GRANDE,COMERCIO,COMERCIALIZACION TEXTILES,2,,,,,,,Universitarios,4,2
GRANDE,COMERCIO,COMERCIALIZACION PISOS,2,5,6,,,,,Tecnicos o Tecnologos,12,40
GRANDE,COMERCIO,IMPORTACION Y VENTA DE RODAMIENTOS,2,5,6,,,,,Tecnicos o Tecnologos,1,2
GRANDE,COMERCIO,VENTAS,5,6,7,,,,,Tecnicos o Tecnologos,200,400
GRANDE,COMERCIO,INSTALACIONES ELECTRICAS,7,,,,,,,Universitarios,40,30
GRANDE,COMERCIO,COMPRA Y VENTA DE DISCOS,5,6,,,,,,Tecnicos o Tecnologos,0,10
GRANDE,COMERCIO,INTERMEDIARIOS,3,,,,,,,Universitarios,3,0
GRANDE,COMERCIO,COMERCIO PRODUCTOS AGRICOLAS,3,,,,,,,Tecnicos o Tecnologos,0,5
GRANDE,COMERCIO,COMERCIALIZACION DE ACCESORIOS,2,7,4,,,,,Tecnicos o Tecnologos,12,25
GRANDE,INDUSTRIA,COMPANIA FARMACEUTICA,1,2,,,,,,Universitarios,3,1
GRANDE,INDUSTRIA,FABRICACION MUEBLES DE HOGAR,1,2,3,4,5,6,,Tecnicos o Tecnologos,15,30
GRANDE,INDUSTRIA,FABRICAION DE CERRADURAS,1,6,,,,,,Universitarios,5,0
GRANDE,INDUSTRIA,EDICION DE PREGRAMAS DE INGLES,1,4,5,6,,,,Tecnicos o Tecnologos,60,100
GRANDE,INDUSTRIA,FABRICANTE DE ACSESORIOS PLAST,2,4,,,,,,Tecnicos o Tecnologos,0,2
GRANDE,INDUSTRIA,IMPRESION DE TEXTOS,5,6,2,,,,,Tecnicos o Tecnologos,1,4
GRANDE,INDUSTRIA,FABRICACION PELICULA POLIETILE,6,,,,,,,Universitarios,1,0
GRANDE,INDUSTRIA,ARTES GRAFICAS,7,,,,,,,Universitarios,4,0
GRANDE,INDUSTRIA,FABRICACION DE BLOQUES,1,5,6,,,,,Universitarios,5,3
GRANDE,INDUSTRIA,ELABORACION DE MOLINERIA PRODU,4,,,,,,,Universitarios,1,0
GRANDE,INDUSTRIA,TEXTIL,1,6,,,,,,Tecnicos o Tecnologos,1,10
GRANDE,INDUSTRIA,METALMECANICA,2,4,5,,,,,Universitarios,4,3
GRANDE,INDUSTRIA,FABRICACION DE PRODUCTOS PUBL.,7,,,,,,,Universitarios,22,10
GRANDE,INDUSTRIA,IMPRESION,1,2,4,5,6,,,Universitarios,15,15
GRANDE,INDUSTRIA,FABRICANTES DE EMPAQUE PARA VALVULA,1,2,4,6,,,,Tecnicos o Tecnologos,5,15
GRANDE,INDUSTRIA,FABRICACION DE ESTRUCTURAS MET,1,,,,,,,Universitarios,1,0
GRANDE,INDUSTRIA,ELABORACION DE CIRCU ELECTRONI,2,5,6,,,,,Tecnicos o Tecnologos,30,40
GRANDE,INDUSTRIA,ALIMENTOS CONCENTRADOS,2,,,,,,,Universitarios,2,0
GRANDE,INDUSTRIA,COMERCIALIZACION DE LUBRICANTE,2,5,6,,,,,Universitarios,2,0
GRANDE,INDUSTRIA,COMERCIALICACION ACEROS,6,4,,,,,,Tecnicos o Tecnologos,10,35
GRANDE,INDUSTRIA,METALMECANICA Y PLASTICA,2,,,,,,,Universitarios,2,0
GRANDE,INDUSTRIA,ARTES GRAFICAS,2,1,6,,,,,Tecnicos o Tecnologos,5,8
GRANDE,INDUSTRIA,DISENO MAQUINARIA,1,2,4,6,,,,Tecnicos o Tecnologos,3,3
GRANDE,INDUSTRIA,IMPRESION DE TEXTOS,2,6,,,,,,Tecnicos o Tecnologos,0,3
GRANDE,INDUSTRIA,MANUFACTURA TEXTIL,2,4,5,6,,,,Universitarios,4,2
GRANDE,INDUSTRIA,FABRICACION DE DULCES,1,2,4,5,6,,,Tecnicos o Tecnologos,1,10
GRANDE,INDUSTRIA,ELABORACION CINTAS ELASTICAS,5,6,,,,,,Universitarios,4,2
GRANDE,INDUSTRIA,INDUSTRIA,4,,,,,,,Tecnicos o Tecnologos,0,3
GRANDE,INDUSTRIA,FABRICACION DE ROPA INTERIOR,5,6,,,,,,Tecnicos o Tecnologos,1,3
GRANDE,INDUSTRIA,TEXTILES,5,6,7,,,,,Tecnicos o Tecnologos,2,4
GRANDE,INDUSTRIA,INDUSTRIAL,4,5,2,,,,,Tecnicos o Tecnologos,3,3
GRANDE,INDUSTRIA,FABRICACION DE AUTOPARTES,1,4,5,6,,,,Tecnicos o Tecnologos,20,30
GRANDE,INDUSTRIA,FABRIC ESTRUCTURAS METALICAS,2,4,,,,,,Universitarios,25,8
GRANDE,INDUSTRIA,PRODUCCION DE HARINA,2,,,,,,,Universitarios,2,1
GRANDE,SERVICIOS,DISTRIBUIDORA FARMACEUTICOS,4,,,,,,,Universitarios,50,10
GRANDE,SERVICIOS,CONSTRUCCION,1,6,,,,,,Universitarios,3,2
GRANDE,SERVICIOS,TRANSPORTE URBANO,1,,,,,,,Tecnicos o Tecnologos,4,10
GRANDE,SERVICIOS,SERVICIOS DE SALUD,1,2,3,5,6,,,Tecnicos o Tecnologos,8,25
GRANDE,SERVICIOS,CONSTRUCICION OBRAS CIVILES,6,,,,,,,Universitarios,10,7
GRANDE,SERVICIOS,CONTRUCCION,1,2,5,6,,,,Tecnicos o Tecnologos,4,5
GRANDE,SERVICIOS,CONSTRUCCION,1,4,6,,,,,Universitarios,20,0
GRANDE,SERVICIOS,OBRAS INGENIERIA CIVIL,1,5,6,4,,,,Universitarios,10,4
GRANDE,SERVICIOS,SALUD,1,2,4,5,6,,,Universitarios,300,200
